Jeju Oriental Hotel,1
협재해변 - Hyeopjae beach,2
Seongsan Ilchulbong,0
Halla Mountain,1
Seongpanak,3
Gwaneumsa Trail,1
Jusangjeollidae,2
Manjanggul Cave,0
正房瀑布 Jeongbang Falls,3
Cheonjeyeon Falls,2
Jeju Stone Park,1
메이즈랜드 Maze Land,0
Norimae,2
휴애리자연생활공원,3
Jeju Flower & Bird Park Falconry Centre,2
Kim Kyoung Sook Sunflower Farm,1
Nexon Computer Museum,1
Nanta Theater
,1
Teddy Bear Museum,2
Jeju Folklore and Natural History Museum,1
Museum of Sex and Health,2
Jeju Love Land,1
Magpie Brewery,1
Innisfree Jeju Green House Organic Café,2
Osulloc Tea Museum,2
Dombedon,1
명진전복 Myeongjin Jeonbok Abalone Restaurant,0
Hwaro Hyang,1
Sisters Noodles,1
Seongsan Port Entrance,0
All Blu fun and dive (Scuba diving in Seogwipo, Jeju island with PADI/SSI instructors),3
